topic,department,concept
"Doctor of philosophy in computer engineering, ph.d.",department of computer engineering,doctor of philosophy
"Doctor of philosophy in computer engineering, ph.d.",department of computer engineering,computer engineering
Computer architecture,department of electrical engineering,computer architecture
Computer architecture,department of computer engineering,computer architecture
Robotics and autonomy,department of electrical engineering,robotics
Robotics and autonomy,department of electrical engineering,autonomy
Robotics and autonomy,department of mechanical engineering,robotics
Robotics and autonomy,department of mechanical engineering,autonomy
Robotics and autonomy,department of engineering,robotics
Robotics and autonomy,department of engineering,autonomy
Robotics and autonomy,department of computer engineering,robotics
Robotics and autonomy,department of computer engineering,autonomy
Sensors and actuators,department of computer engineering,sensors
Signal and image processing,department of computer engineering,signal processing
Signal and image processing,department of computer engineering,image processing
Systems and networking,department of electrical engineering,networking
Systems and networking,department of electrical engineering,systems
Systems and networking,department of software engineering,networking
Systems and networking,department of software engineering,systems
Systems and networking,department of computer engineering,networking
Systems and networking,department of computer engineering,systems
Circuits and electronic systems,department of computer engineering,electronic systems
Circuits and electronic systems,department of computer engineering,circuits
"Complex systems, network science and computation",department of computer engineering,computation
"Complex systems, network science and computation",department of computer engineering,network science
"Complex systems, network science and computation",department of computer engineering,complex systems
Scientific computing,department of computer engineering,scientific computing
Information theory and communications,department of computer engineering,communications
Micro nano systems,department of computer engineering,nano systems
Micro nano systems,department of computer engineering,micro systems
Optical physics and quantum information science,department of computer engineering,optical physics
Semiconductor physics and devices,department of materials science,devices
Semiconductor physics and devices,department of materials engineering,devices
Semiconductor physics and devices,department of computer engineering,devices
"Photonics, electronics and nanotechnology",department of electrical engineering,photonics
"Photonics, electronics and nanotechnology",department of electrical engineering,electronics
"Photonics, electronics and nanotechnology",department of electrical engineering,nanotechnology
"Photonics, electronics and nanotechnology",department of computer engineering,photonics
"Photonics, electronics and nanotechnology",department of computer engineering,electronics
"Photonics, electronics and nanotechnology",department of computer engineering,nanotechnology
"Medical imaging, devices, and systems",department of electrical engineering,medical imaging
"Medical imaging, devices, and systems",department of electrical engineering,devices
"Medical imaging, devices, and systems",department of electrical engineering,systems
"Medical imaging, devices, and systems",department of computer engineering,medical imaging
"Medical imaging, devices, and systems",department of computer engineering,devices
"Medical imaging, devices, and systems",department of computer engineering,systems
Cyber-physical systems,department of electrical engineering,cyber-physical systems
Cyber-physical systems,department of computer engineering,cyber-physical systems
Applied and translational artificial intelligence,department of electrical engineering,applied artificial intelligence
Applied and translational artificial intelligence,department of computer engineering,applied artificial intelligence
Space and defense systems,department of electrical engineering,defense systems
Space and defense systems,department of computer engineering,defense systems
"Communications, networking, signal & image processing",department of electrical engineering,signal processing
"Communications, networking, signal & image processing",department of electrical engineering,communications
"Communications, networking, signal & image processing",department of electrical engineering,image processing
"Communications, networking, signal & image processing",department of electrical engineering,networking
"Communications, networking, signal & image processing",department of computer engineering,signal processing
"Communications, networking, signal & image processing",department of computer engineering,communications
"Communications, networking, signal & image processing",department of computer engineering,image processing
"Communications, networking, signal & image processing",department of computer engineering,networking
Fields and optics,department of electrical engineering,optics
Fields and optics,department of electrical engineering,fields
Fields and optics,department of computer engineering,optics
Fields and optics,department of computer engineering,fields
Microelectronics & nanotechnology,department of electrical engineering,nanotechnology
Microelectronics & nanotechnology,department of electrical engineering,microelectronics
Microelectronics & nanotechnology,department of computer engineering,nanotechnology
Microelectronics & nanotechnology,department of computer engineering,microelectronics
Schweitzer power and energy systems,department of electrical engineering,power systems
Schweitzer power and energy systems,department of electrical engineering,energy systems
Schweitzer power and energy systems,department of computer engineering,power systems
Schweitzer power and energy systems,department of computer engineering,energy systems
Vlsi and circuit design,department of electrical engineering,vlsi
Vlsi and circuit design,department of computer engineering,vlsi
Biosystems,department of computer engineering,biosystems
Computing and networking,department of computer engineering,computing
Computing and networking,department of computer engineering,networking
Data science,department of software engineering,data science
Data science,department of computer engineering,data science
"Electronic, photonic, and integrated quantum systems (epiqs)",department of computer engineering,electronic systems
Robotics and controls,department of computer engineering,robotics
Robotics and controls,department of computer engineering,controls
Computing systems and controls,department of electrical engineering,computing systems
Computing systems and controls,department of electrical engineering,controls
Computing systems and controls,department of computer engineering,computing systems
Computing systems and controls,department of computer engineering,controls
Electronic materials and devices,department of electrical engineering,devices
Electronic materials and devices,department of electrical engineering,electronic materials
Electronic materials and devices,department of computer engineering,devices
Electronic materials and devices,department of computer engineering,electronic materials
Photonics and optics,department of electrical engineering,photonics
Photonics and optics,department of electrical engineering,optics
Photonics and optics,department of computer engineering,photonics
Photonics and optics,department of computer engineering,optics
Space science and engineering,department of electrical engineering,engineering
Space science and engineering,department of computer engineering,engineering
Programming & software engineering,department of computer engineering,programming
Programming & software engineering,department of computer engineering,software engineering
Programming languages,department of computer engineering,programming languages
Security & cryptography,department of computer engineering,cryptography
Security & cryptography,department of computer engineering,security
Circuits & applications,department of computer engineering,applications
Circuits & applications,department of computer engineering,circuits
"Electromagnetics, photonics, and quantum",department of computer engineering,electromagnetics
"Electromagnetics, photonics, and quantum",department of computer engineering,photonics
Nanoelectronics & nanotechnology,department of computer engineering,nanoelectronics
Nanoelectronics & nanotechnology,department of computer engineering,nanotechnology
Optimization & engineering mathematics,department of computer engineering,optimization
Probability & statistics,department of computer engineering,probability
Probability & statistics,department of computer engineering,statistics
Inference,department of computer engineering,inference
Graphics,department of computer engineering,graphics
Human-computer interaction & society,department of computer engineering,society
Human-computer interaction & society,department of computer engineering,human-computer interaction
Biomedical & health,department of computer engineering,health
Biomedical & health,department of computer engineering,biomedical
Natural language processing & speech,department of computer engineering,speech
Natural language processing & speech,department of computer engineering,natural language processing
Fast trees; fusion trees. lower bounds; cell,department of electrical engineering,cell
Fast trees; fusion trees. lower bounds; cell,department of computer engineering,cell
Memory and cache,department of electrical engineering,memory
Memory and cache,department of computer engineering,memory
Person design project on multi,department of computer engineering,multi
Tuning. it also introduces application,department of computer engineering,application
Output and state,department of electrical engineering,output
Output and state,department of electrical engineering,state
Output and state,department of computer engineering,output
Output and state,department of computer engineering,state
Space models of linear systems driven by deterministic and random signals; time,department of electrical engineering,time
Space models of linear systems driven by deterministic and random signals; time,department of computer engineering,time
Mean square error estimation; wiener filtering. hypothesis testing; detection; matched filters.,department of electrical engineering,hypothesis testing
Mean square error estimation; wiener filtering. hypothesis testing; detection; matched filters.,department of electrical engineering,detection
Mean square error estimation; wiener filtering. hypothesis testing; detection; matched filters.,department of computer engineering,hypothesis testing
Mean square error estimation; wiener filtering. hypothesis testing; detection; matched filters.,department of computer engineering,detection
Posed optimization problems; dynamic augmentation; linear,department of electrical engineering,linear
Posed optimization problems; dynamic augmentation; linear,department of computer engineering,linear
Synthesis; model and compensator simplification; nonlinear effects. computer,department of electrical engineering,synthesis
Synthesis; model and compensator simplification; nonlinear effects. computer,department of computer engineering,synthesis
Aided (matlab) design homework using models of physical processes.,department of electrical engineering,matlab
Aided (matlab) design homework using models of physical processes.,department of computer engineering,matlab
Convex optimization. focuses on both classical and cutting,department of computer engineering,convex optimization
"Order methods, stochastic optimization, as well as recent progress in non",department of computer engineering,stochastic optimization
Antenna and mimo systems; space,department of electrical engineering,space
Antenna and mimo systems; space,department of computer engineering,space
"Information, networks, and decision systems",department of electrical engineering,information
"Information, networks, and decision systems",department of electrical engineering,networks
"Information, networks, and decision systems",department of computer engineering,information
"Information, networks, and decision systems",department of computer engineering,networks
"Physical electronics, devices, and plasma science",department of electrical engineering,devices
"Physical electronics, devices, and plasma science",department of computer engineering,devices
Computer systems engineer/architect,department of computer engineering,computer architecture
Innovative nano/biosensor lab (inb lab),department of electrical engineering,nano
Innovative nano/biosensor lab (inb lab),department of computer engineering,nano
Mixed-signal cad lab,department of electrical engineering,cad
Mixed-signal cad lab,department of computer engineering,cad
Nanomaterials and nanotube research laboratory (nnrl),department of electrical engineering,nanomaterials
Nanomaterials and nanotube research laboratory (nnrl),department of computer engineering,nanomaterials
Optoelectronics research lab,department of electrical engineering,optoelectronics
Optoelectronics research lab,department of computer engineering,optoelectronics
Organic devices and electronics lab (odel),department of electrical engineering,electronics
Organic devices and electronics lab (odel),department of computer engineering,electronics
Sustainable smart electrical energy systems,department of electrical engineering,sustainable energy systems
Sustainable smart electrical energy systems,department of computer engineering,sustainable energy systems
Terahertz imaging and spectroscopy computational electromagnetics group,department of electrical engineering,spectroscopy
Terahertz imaging and spectroscopy computational electromagnetics group,department of computer engineering,spectroscopy
Power systems control laboratory,department of electrical engineering,power systems
Power systems control laboratory,department of computer engineering,power systems
"Intelligent information sensing, processing, and transmission laboratory",department of electrical engineering,intelligent information processing
"Intelligent information sensing, processing, and transmission laboratory",department of computer engineering,intelligent information processing
Intelligent information processing lab,department of electrical engineering,intelligent information processing
Intelligent information processing lab,department of computer engineering,intelligent information processing
Cybersecurity,department of information science,cybersecurity
Cybersecurity,department of software engineering,cybersecurity
Cybersecurity,department of data science,cybersecurity
Cybersecurity,department of computer engineering,cybersecurity
Cybersecurity,department of computer science,cybersecurity
"Big data, data analytics, and blockchain",department of software engineering,data analytics
"Big data, data analytics, and blockchain",department of software engineering,big data
"Big data, data analytics, and blockchain",department of software engineering,blockchain
"Big data, data analytics, and blockchain",department of computer engineering,data analytics
"Big data, data analytics, and blockchain",department of computer engineering,big data
"Big data, data analytics, and blockchain",department of computer engineering,blockchain
Machine learning and quantum machine learning,department of software engineering,machine learning
Machine learning and quantum machine learning,department of computer engineering,machine learning
Computer vision and image processing,department of software engineering,computer vision
Computer vision and image processing,department of software engineering,image processing
Computer vision and image processing,department of computer engineering,computer vision
Computer vision and image processing,department of computer engineering,image processing
Computer system design and high performance computing,department of software engineering,high performance computing
Computer system design and high performance computing,department of computer engineering,high performance computing
Deep learning and natural language processing,department of software engineering,deep learning
Deep learning and natural language processing,department of software engineering,natural language processing
Deep learning and natural language processing,department of computer engineering,deep learning
Deep learning and natural language processing,department of computer engineering,natural language processing
Computer-aided design,department of industrial engineering,computer-aided design
Computer-aided design,department of computer engineering,computer-aided design
"Communications, digital signal processing, and sensor networks",department of software engineering,digital signal processing
"Communications, digital signal processing, and sensor networks",department of software engineering,communications
"Communications, digital signal processing, and sensor networks",department of computer engineering,digital signal processing
"Communications, digital signal processing, and sensor networks",department of computer engineering,communications
"Electronics and electronic packaging, analog and mixed signal, and integrated circuits",department of software engineering,electronics
"Electronics and electronic packaging, analog and mixed signal, and integrated circuits",department of software engineering,integrated circuits
"Electronics and electronic packaging, analog and mixed signal, and integrated circuits",department of computer engineering,electronics
"Electronics and electronic packaging, analog and mixed signal, and integrated circuits",department of computer engineering,integrated circuits
"Power systems, power electronics, renewable energy, and control",department of software engineering,power systems
"Power systems, power electronics, renewable energy, and control",department of software engineering,control
"Power systems, power electronics, renewable energy, and control",department of software engineering,renewable energy
"Power systems, power electronics, renewable energy, and control",department of computer engineering,power systems
"Power systems, power electronics, renewable energy, and control",department of computer engineering,control
"Power systems, power electronics, renewable energy, and control",department of computer engineering,renewable energy
"Rf and microwave, electromagnetics, antennas, and terahertz",department of software engineering,electromagnetics
"Rf and microwave, electromagnetics, antennas, and terahertz",department of computer engineering,electromagnetics
"Semiconductors, nanotechnology, optoelectronics, photovoltaic, and photonics",department of software engineering,optoelectronics
"Semiconductors, nanotechnology, optoelectronics, photovoltaic, and photonics",department of software engineering,photonics
"Semiconductors, nanotechnology, optoelectronics, photovoltaic, and photonics",department of software engineering,nanotechnology
"Semiconductors, nanotechnology, optoelectronics, photovoltaic, and photonics",department of computer engineering,optoelectronics
"Semiconductors, nanotechnology, optoelectronics, photovoltaic, and photonics",department of computer engineering,photonics
"Semiconductors, nanotechnology, optoelectronics, photovoltaic, and photonics",department of computer engineering,nanotechnology
Ua power group,department of electrical engineering,power
Ua power group,department of computer engineering,power
Center for infrastructure trustworthiness in energy systems,department of software engineering,energy systems
Center for infrastructure trustworthiness in energy systems,department of computer engineering,energy systems
Institute for nanoscience and engineering,department of software engineering,nanoscience
Institute for nanoscience and engineering,department of software engineering,engineering
Institute for nanoscience and engineering,department of computer engineering,nanoscience
Institute for nanoscience and engineering,department of computer engineering,engineering
Electrical engineering research labs,department of software engineering,research labs
Electrical engineering research labs,department of software engineering,electrical engineering
Electrical engineering research labs,department of computer engineering,research labs
Electrical engineering research labs,department of computer engineering,electrical engineering
"Applied electromagnetics, acoustics, and plasmas",department of computer engineering,acoustics
"Communications, networks, privacy, and security",department of computer engineering,privacy
"Communications, networks, privacy, and security",department of computer engineering,communications
"Communications, networks, privacy, and security",department of computer engineering,security
"Communications, networks, privacy, and security",department of computer engineering,networks
Computer systems and architecture,department of computer engineering,architecture
Optimization and control,department of computer engineering,optimization
Optimization and control,department of computer engineering,control
Solid-state electronics and quantum technologies,department of computer engineering,solid-state electronics
Computer science and engineering,department of computer science,computer science
Computer science and engineering,department of computer science,engineering
"Engineering and computer science, college of",department of computer science,engineering
"Engineering and computer science, college of",department of computer science,computer science
Databases and data mining,department of software engineering,data mining
Databases and data mining,department of software engineering,databases
Databases and data mining,department of computer science,data mining
Databases and data mining,department of computer science,databases
Bioinformatics and computational biology,department of software engineering,bioinformatics
Bioinformatics and computational biology,department of software engineering,computational biology
Bioinformatics and computational biology,department of computer science,bioinformatics
Bioinformatics and computational biology,department of computer science,computational biology
Security and cryptography,department of software engineering,cryptography
Security and cryptography,department of software engineering,security
Security and cryptography,department of computer science,cryptography
Security and cryptography,department of computer science,security
Biomedical informatics,department of computer science,biomedical informatics
Biomed imaging and visualization,department of computer science,visualization
Data science and analytics,department of information science,data science
Data science and analytics,department of information science,analytics
Data science and analytics,department of computer science,data science
Data science and analytics,department of computer science,analytics
Machine learning and artificial intelligence,department of structural engineering,artificial intelligence
Machine learning and artificial intelligence,department of structural engineering,machine learning
Machine learning and artificial intelligence,department of computer science,artificial intelligence
Machine learning and artificial intelligence,department of computer science,machine learning
Wireless networking and security,department of computer science,security
Security and privacy,department of software engineering,privacy
Security and privacy,department of software engineering,security
Security and privacy,department of computer science,privacy
Security and privacy,department of computer science,security
Vision and graphics,department of computer science,graphics
Vision and graphics,department of computer science,vision
"Artificial intelligence, machine learning, and natural language processing",department of software engineering,natural language processing
"Artificial intelligence, machine learning, and natural language processing",department of software engineering,artificial intelligence
"Artificial intelligence, machine learning, and natural language processing",department of software engineering,machine learning
"Artificial intelligence, machine learning, and natural language processing",department of computer science,natural language processing
"Artificial intelligence, machine learning, and natural language processing",department of computer science,artificial intelligence
"Artificial intelligence, machine learning, and natural language processing",department of computer science,machine learning
Distributed systems,department of computer science,distributed systems
"Graphics, visualization, and geometric modeling",department of software engineering,graphics
"Graphics, visualization, and geometric modeling",department of software engineering,visualization
"Graphics, visualization, and geometric modeling",department of computer science,graphics
"Graphics, visualization, and geometric modeling",department of computer science,visualization
Information security and assurance,department of software engineering,information security
Information security and assurance,department of software engineering,assurance
Information security and assurance,department of computer science,information security
Information security and assurance,department of computer science,assurance
Programming languages and compilers,department of software engineering,compilers
Programming languages and compilers,department of software engineering,programming languages
Programming languages and compilers,department of computer science,compilers
Programming languages and compilers,department of computer science,programming languages
Robotics and computer vision,department of software engineering,computer vision
Robotics and computer vision,department of software engineering,robotics
Robotics and computer vision,department of computer science,computer vision
Robotics and computer vision,department of computer science,robotics
"Theory of computing, algorithms, and quantum computing",department of software engineering,algorithms
"Theory of computing, algorithms, and quantum computing",department of software engineering,quantum computing
"Theory of computing, algorithms, and quantum computing",department of computer science,algorithms
"Theory of computing, algorithms, and quantum computing",department of computer science,quantum computing
"Algorithms, complexity and cryptography (theory group)",department of software engineering,cryptography
"Algorithms, complexity and cryptography (theory group)",department of software engineering,algorithms
"Algorithms, complexity and cryptography (theory group)",department of computer science,cryptography
"Algorithms, complexity and cryptography (theory group)",department of computer science,algorithms
Computer architecture and compilers,department of software engineering,compilers
Computer architecture and compilers,department of software engineering,computer architecture
Computer architecture and compilers,department of computer science,compilers
Computer architecture and compilers,department of computer science,computer architecture
Databases and information management,department of software engineering,databases
Databases and information management,department of computer science,databases
Embedded systems & software,department of software engineering,embedded systems
Embedded systems & software,department of software engineering,software
Embedded systems & software,department of computer science,embedded systems
Embedded systems & software,department of computer science,software
Human-computer interaction / the design lab,department of software engineering,human-computer interaction
Human-computer interaction / the design lab,department of computer science,human-computer interaction
Ubiquitous computing and extended intelligence,department of software engineering,ubiquitous computing
Ubiquitous computing and extended intelligence,department of computer science,ubiquitous computing
Visual computing (computer graphics and computer vision),department of software engineering,computer vision
Visual computing (computer graphics and computer vision),department of software engineering,computer graphics
Visual computing (computer graphics and computer vision),department of computer science,computer vision
Visual computing (computer graphics and computer vision),department of computer science,computer graphics
Vlsi/cad (computer-aided design),department of software engineering,cad
Vlsi/cad (computer-aided design),department of software engineering,computer-aided design
Vlsi/cad (computer-aided design),department of software engineering,vlsi
Vlsi/cad (computer-aided design),department of computer science,cad
Vlsi/cad (computer-aided design),department of computer science,computer-aided design
Vlsi/cad (computer-aided design),department of computer science,vlsi
More on autonomous and cyber-physical systems,department of computer science,autonomous systems
More on autonomous and cyber-physical systems,department of computer science,cyber-physical systems
More on computer architecture,department of computer science,computer architecture
More on human-computer interaction,department of computer science,human-computer interaction
More on machine learning and data science,department of computer science,data science
More on machine learning and data science,department of computer science,machine learning
More on natural language processing,department of computer science,natural language processing
More on networking,department of computer science,networking
More on operating systems,department of computer science,operating systems
More on robotics,department of computer science,robotics
More on security,department of computer science,security
More on theory,department of computer science,theory
"Graphics interactive rendering, global illumination, measurement, simulation, sound, perception",department of computer science,measurement
"Graphics interactive rendering, global illumination, measurement, simulation, sound, perception",department of computer science,perception
"Graphics interactive rendering, global illumination, measurement, simulation, sound, perception",department of computer science,simulation
"Machine learning artificial intelligence, algorithms",department of computer science,algorithms
"Machine learning artificial intelligence, algorithms",department of computer science,artificial intelligence
"Machine learning artificial intelligence, algorithms",department of computer science,machine learning
Natural language processing please visit the cornell nlp group website for more information.,department of computer science,natural language processing
"Robotics perception, control, learning, aerial robots, bio-inspired robots, household robots",department of computer science,control
"Robotics perception, control, learning, aerial robots, bio-inspired robots, household robots",department of computer science,learning
"Scientific computing numerical analysis, computational geometry, physically based animation",department of computer science,numerical analysis
"Scientific computing numerical analysis, computational geometry, physically based animation",department of computer science,scientific computing
"Systems and networking operating systems, distributed computing, networking, and security",department of computer science,operating systems
"Systems and networking operating systems, distributed computing, networking, and security",department of computer science,distributed computing
"Systems and networking operating systems, distributed computing, networking, and security",department of computer science,security
"Systems and networking operating systems, distributed computing, networking, and security",department of computer science,networking
Vision computer vision,department of computer science,computer vision
Vision computer vision,department of computer science,vision
Software and systems engineering,department of software engineering,systems engineering
Software and systems engineering,department of software engineering,software engineering
Software and systems engineering,department of computer science,systems engineering
Software and systems engineering,department of computer science,software engineering
Security and fault tolerance,department of software engineering,security
Security and fault tolerance,department of computer science,security
Ai for healthcare and life sciences,department of software engineering,life sciences
Ai for healthcare and life sciences,department of software engineering,healthcare
Ai for healthcare and life sciences,department of software engineering,ai
Ai for healthcare and life sciences,department of computer science,life sciences
Ai for healthcare and life sciences,department of computer science,healthcare
Ai for healthcare and life sciences,department of computer science,ai
Computational fabrication and manufacturing,department of electrical engineering,manufacturing
Computational fabrication and manufacturing,department of software engineering,manufacturing
Computational fabrication and manufacturing,department of computer science,manufacturing
Educational technology,department of electrical engineering,educational technology
Educational technology,department of software engineering,educational technology
Educational technology,department of computer science,educational technology
Programming languages and software engineering,department of software engineering,programming languages
Programming languages and software engineering,department of software engineering,software engineering
Programming languages and software engineering,department of computer science,programming languages
Programming languages and software engineering,department of computer science,software engineering
"Quantum computing, communication, and sensing",department of electrical engineering,quantum computing
"Quantum computing, communication, and sensing",department of electrical engineering,sensing
"Quantum computing, communication, and sensing",department of electrical engineering,communication
"Quantum computing, communication, and sensing",department of software engineering,quantum computing
"Quantum computing, communication, and sensing",department of software engineering,sensing
"Quantum computing, communication, and sensing",department of software engineering,communication
"Quantum computing, communication, and sensing",department of computer science,quantum computing
"Quantum computing, communication, and sensing",department of computer science,sensing
"Quantum computing, communication, and sensing",department of computer science,communication
Theory of computation,department of computer science,theory of computation
Can wu – think big! emerging large-area electronics for large scale system integration,department of electrical engineering,system integration
Can wu – think big! emerging large-area electronics for large scale system integration,department of software engineering,system integration
Can wu – think big! emerging large-area electronics for large scale system integration,department of computer science,system integration
Jason wu – from agent to optimization: user interface understanding and generation,department of electrical engineering,optimization
Jason wu – from agent to optimization: user interface understanding and generation,department of software engineering,optimization
Jason wu – from agent to optimization: user interface understanding and generation,department of computer science,optimization
Knowledge representation and reasoning,department of computer science,reasoning
Fuzzy and neural systems,department of computer science,neural systems
Generative ai fo low sample size biological data,department of computer science,generative ai
Dimensionality reduction and visualization,department of computer science,visualization
Clustering,department of computer science,clustering
Minnesota interactive robotics and vision laboratory earns $930k nsf grant,department of computer science,vision
Computing systems,department of computer science,computing systems
Data science & machine learning,department of computer science,data science
Data science & machine learning,department of computer science,machine learning
Robotics and artificial intelligence,department of computer science,robotics
Robotics and artificial intelligence,department of computer science,artificial intelligence
Learning sciences & technologies,department of computer science,learning sciences
Learning sciences & technologies,department of computer science,technologies
Large carnivore management and conservation,department of conservation,conservation
Large carnivore management and conservation,department of ecology,conservation
Habitat restoration and conservation of endangered species,department of conservation,conservation
Habitat restoration and conservation of endangered species,department of ecology,conservation
Conservation biology (soe 450),department of conservation,conservation biology
Conservation biology (soe 450),department of ecology,conservation biology
4. wildlife ecology and conservation sciences core classes,department of conservation,wildlife ecology
Desert ecosystem conservation,department of conservation,conservation
Ecology and conservation of reptiles,department of conservation,conservation
Ecology and conservation of reptiles,department of conservation,reptiles
Ecology and conservation of reptiles,department of conservation,ecology
"Habitat fragmentation, metapopulation dynamics, conservation genetics",department of conservation,conservation genetics
Fish conservation biology,department of conservation,biology
Conservation genetics center,department of conservation,conservation genetics
Use statistical analyses to guide science-based conservation decisions and policies.,department of conservation,policies
Design models and experiments to help answer conservation questions.,department of conservation,experiments
Imaging for conservation (finh-ga.2110.001),department of conservation,conservation
Imaging for conservation (finh-ga.2110.001),department of conservation,imaging
Advanced conservation or art history elective,department of conservation,art history
"Fisheries, wildlife, and conservation biology (phd)",department of conservation,wildlife
"Fisheries, wildlife, and conservation biology (phd)",department of conservation,conservation biology
"Fisheries, wildlife, and conservation biology (phd)",department of conservation,fisheries
"Behavioral ecology, reproduction, and nutrition of wildlife",department of conservation,reproduction
"Behavioral ecology, reproduction, and nutrition of wildlife",department of conservation,wildlife
"Behavioral ecology, reproduction, and nutrition of wildlife",department of conservation,behavioral ecology
"Behavioral ecology, reproduction, and nutrition of wildlife",department of conservation,nutrition
"Behavioral ecology, reproduction, and nutrition of wildlife",department of ecology,reproduction
"Behavioral ecology, reproduction, and nutrition of wildlife",department of ecology,wildlife
"Behavioral ecology, reproduction, and nutrition of wildlife",department of ecology,behavioral ecology
"Behavioral ecology, reproduction, and nutrition of wildlife",department of ecology,nutrition
Microbial ecology,department of conservation,microbial ecology
Microbial ecology,department of molecular genetics,microbial ecology
Microbial ecology,department of environmental science,microbial ecology
Methods in wildlife ecology (soe 310),department of conservation,methods
Methods in wildlife ecology (soe 310),department of conservation,wildlife ecology
Methods in wildlife ecology (soe 310),department of ecology,methods
Methods in wildlife ecology (soe 310),department of ecology,wildlife ecology
Population ecology (soe 441),department of conservation,population ecology
Population ecology (soe 441),department of ecology,population ecology
Forest and arid land plants & ecosystems (soe 301&302),department of conservation,ecosystems
Forest and arid land plants & ecosystems (soe 301&302),department of conservation,forest plants
Natural resources policy & law (soe 438),department of conservation,law
Natural resources policy & law (soe 438),department of conservation,natural resources policy
435) population ecology (soe,department of conservation,population ecology
412) ornithology (biology,department of conservation,ornithology
mammalogy (biology,department of conservation,mammalogy
biochemistry (mbios,department of conservation,biochemistry
general genetics (biology,department of conservation,general genetics
general physics (physics,department of conservation,general physics
Fire ecology and management,department of conservation,management
Fire ecology and management,department of conservation,fire ecology
Gis and spatial modeling,department of conservation,spatial modeling
Gis and spatial modeling,department of conservation,gis
Invasive species ecology and management,department of conservation,management
Paleoecology and extinction,department of conservation,paleoecology
Paleoecology and extinction,department of conservation,extinction
Restoration ecology,department of conservation,restoration ecology
Coevolution between plants and animals,department of conservation,animals
Coevolution between plants and animals,department of conservation,plants
Functional genomics,department of conservation,functional genomics
Hybridization,department of conservation,hybridization
Population genomics,department of conservation,population genomics
Ecosystem restoration,department of conservation,ecosystem restoration
Nevada institute for chemical ecology,department of conservation,chemical ecology
Nevada genomics center,department of conservation,genomics
Museum of natural history,department of conservation,natural history
Genomics and molecular ecology,department of conservation,genomics
Global change,department of conservation,global change
Global change,department of geology,global change
Limnology and aquatic ecology,department of conservation,limnology
Limnology and aquatic ecology,department of conservation,aquatic ecology
Population and community ecology,department of conservation,community ecology
Population and community ecology,department of conservation,population ecology
Recognize and apply standard techniques for surveying and assessing natural habitats.,department of conservation,surveying
Recognize and apply standard techniques for surveying and assessing natural habitats.,department of conservation,assessing
Recognize and apply standard techniques for surveying and assessing natural habitats.,department of conservation,natural habitats
Manage and store data for easy access and interpretation.,department of conservation,data storage
Manage and store data for easy access and interpretation.,department of conservation,data interpretation
Manage and store data for easy access and interpretation.,department of conservation,data management
"1) organismal and population biology, (",department of conservation,organismal biology
"2) ecosystem and landscape ecology, (",department of conservation,landscape ecology
"2) ecosystem and landscape ecology, (",department of conservation,ecosystem ecology
"3) participatory decision-making, policy, and other social processes, (",department of conservation,policy
"3) participatory decision-making, policy, and other social processes, (",department of conservation,social processes
Material science of art & archaeology ii (finh-ga.2102.001),department of conservation,material science
Material science of art & archaeology ii (finh-ga.2102.001),department of conservation,art
Material science of art & archaeology ii (finh-ga.2102.001),department of conservation,archaeology
Technology & structure of works of art ii: inorganic materials (finh-ga.2104.001),department of conservation,inorganic materials
Technology & structure of works of art ii: inorganic materials (finh-ga.2104.001),department of conservation,technology
Instrumental analysis i (finh-ga.2105.001),department of conservation,instrumental analysis
Instrumental analysis ii (finh-ga.2106.001),department of conservation,instrumental analysis
