conference_journal,conference_topic,extracted_concept
quality management systems,Real-time quality monitoring through iot in food safety.,food safety
quality management systems,Enhancing quality management in healthcare with ai and machine learning.,machine learning
quality management systems,Enhancing quality management in healthcare with ai and machine learning.,artificial intelligence
quality management systems,Enhancing quality management in healthcare with ai and machine learning.,healthcare quality management
quality management systems,Augmented reality applications in quality inspections.,quality inspection
quality management systems,Augmented reality applications in quality inspections.,augmented reality
quality management systems,Data-driven approaches to quality control.,quality control
quality management systems,Data-driven approaches to quality control.,data-driven methods
quality management systems,Future trends in technology-driven quality management.,quality management
quality management systems,Customer focus,customer relationship management
quality management systems,Process approach,process management
quality management systems,Evidence-based decision making,decision science
quality management systems,Risk-based thinking,risk management
quality management systems,Advancing and broadening quality management for the future: integrative and innovative approaches,quality management
quality management systems,Key differences between quality control and quality assurance.,quality assurance
quality management systems,Key differences between quality control and quality assurance.,quality control
quality management systems,Best practices in quality control for food production.,food production
quality management systems,Best practices in quality control for food production.,quality control
quality management systems,The impact of quality control on customer satisfaction in retail.,customer satisfaction
quality management systems,The impact of quality control on customer satisfaction in retail.,retail
quality management systems,The impact of quality control on customer satisfaction in retail.,quality control
quality management systems,Analyzing quality assurance practices in healthcare,healthcare quality assurance
quality management systems,The role of quality audits in maintaining product standards,quality audits
quality management systems,Quality assurance in manufacturing: tools and techniques,manufacturing quality assurance
quality management systems,Implementing quality control in construction projects,construction quality control
quality management systems,The impact of quality assurance on brand reputation.,quality assurance
quality management systems,The impact of quality assurance on brand reputation.,brand management
quality management systems,Quality control in pharmaceutical manufacturing.,quality control
quality management systems,Quality control in pharmaceutical manufacturing.,pharmaceutical manufacturing
quality management systems,Exploring statistical quality control methods in automotive industries.,statistical quality control
quality management systems,Exploring statistical quality control methods in automotive industries.,automotive engineering
quality management systems,Role of quality assurance in mitigating project risks.,quality assurance
quality management systems,Role of quality assurance in mitigating project risks.,project risk management
quality management systems,The cost of poor quality and its impact on businesses.,quality management
quality management systems,The cost of poor quality and its impact on businesses.,business management
quality management systems,An introduction to statistical process control in quality management.,quality management
quality management systems,An introduction to statistical process control in quality management.,statistical process control
quality management systems,The role of control charts in spc.,statistical process control
quality management systems,The role of control charts in spc.,control charts
quality management systems,Analyzing process variation with spc tools.,statistical process control
quality management systems,Analyzing process variation with spc tools.,process variation
quality management systems,Spc application in reducing production defects.,statistical process control
quality management systems,The impact of spc on manufacturing process efficiency.,statistical process control
quality management systems,Using spc for quality improvement in service industries.,quality improvement
quality management systems,Using spc for quality improvement in service industries.,statistical process control
quality management systems,Using spc for quality improvement in service industries.,service industry management
quality management systems,Case studies of spc implementation in automotive manufacturing.,statistical process control
quality management systems,Case studies of spc implementation in automotive manufacturing.,automotive manufacturing
quality management systems,Challenges of applying spc in healthcare settings.,statistical process control
quality management systems,Challenges of applying spc in healthcare settings.,healthcare management
quality management systems,Statistical tools for monitoring quality in real time.,quality management
quality management systems,Spc in food processing: ensuring product consistency.,statistical process control
quality management systems,Spc in food processing: ensuring product consistency.,food processing
quality management systems,The role of spc in reducing waste and resource consumption.,resource management
quality management systems,The role of spc in reducing waste and resource consumption.,waste management
quality management systems,The role of spc in reducing waste and resource consumption.,statistical process control
quality management systems,Key success factors for spc in quality management.,quality management
quality management systems,Key success factors for spc in quality management.,statistical process control
quality management systems,Analyzing the benefits of spc in pharmaceutical production.,statistical process control
quality management systems,Analyzing the benefits of spc in pharmaceutical production.,pharmaceutical production
quality management systems,Implementing spc in high-variation production environments.,production management
quality management systems,Implementing spc in high-variation production environments.,statistical process control
quality management systems,The role of spc in maintaining compliance with quality standards.,quality standards compliance
quality management systems,The role of spc in maintaining compliance with quality standards.,statistical process control
community planning,Resilient community planning and design,resilience
community planning,Autism and environment,environmental studies
community planning,Autism and environment,autism
community planning,Children’s environments,child development
community planning,Cities/urban environments,urban studies
community planning,Cross-cultural environments,environmental studies
community planning,Cross-cultural environments,cross-cultural studies
community planning,Health and active living,urban health
community planning,Health and active living,health promotion
community planning,Health and active living,public health
community planning,Healthcare environments,healthcare design
community planning,Healthcare environments,healthcare facilities
community planning,Nature and ecology/natural settings,natural environments
community planning,Nature and ecology/natural settings,ecology
community planning,Preservation/heritage/historical environments,heritage conservation
community planning,Preservation/heritage/historical environments,historic preservation
community planning,Preservation/heritage/historical environments,cultural heritage
community planning,Programming/poe,programming
community planning,Safety and security,security studies
community planning,Universal design,universal design
community planning,Urban greening,urban greening
community planning,Urban planning,urban planning
community planning,Wayfinding,wayfinding
community planning,Designing accessible environments,accessible design
community planning,Designing accessible environments,environmental design
community planning,Housing design and policy,housing policy
community planning,Housing design and policy,housing design
community planning,Cross-cultural placemaking: fostering diversity through community design,cross-cultural placemaking
community planning,Cross-cultural placemaking: fostering diversity through community design,community design
community planning,Economic development and community revitalization,economic development
community planning,Economic development and community revitalization,community revitalization
community planning,Participatory design strategies,participatory design
community planning,"Emerging design tools: data, simulation and virtual design",virtual design
community planning,"Emerging design tools: data, simulation and virtual design",simulation
community planning,"Emerging design tools: data, simulation and virtual design",data science
community planning,Immigration and planning,immigration studies
community planning,"Gender, sexuality, and planning",sexuality studies
community planning,"Gender, sexuality, and planning",gender studies
community planning,Suburban and peripheral planning,suburban planning
community planning,Planning the military industrial complex,military logistics
community planning,Planning the military industrial complex,industrial planning
community planning,"Being, or community safety",community safety
comparative anatomy,Special issue on biomedical imaging in comparative anatomy,comparative anatomy
comparative anatomy,Special issue on biomedical imaging in comparative anatomy,biomedical imaging
comparative anatomy,Systemic studies of gross anatomy.,gross anatomy
comparative anatomy,Systemic studies of gross anatomy.,systemic anatomy
comparative anatomy,Special issue on anatomical variations in hearing and sound production in amniotes,amniote anatomy
comparative constitutional law,Innovation and sustainability: comparative law for a better world,comparative law
comparative politics,"History of military interventions in political affairs in pakistan, hina altaf",military interventions
comparative politics,"Rhetorical demagoguery: an exploration of trump’s and hitler’s rise to power, tanner horne",demagoguery
comparative politics,"Rhetorical demagoguery: an exploration of trump’s and hitler’s rise to power, tanner horne",rhetoric
comparative politics,"The wavering future of democracy in latin america, brianna n. bleeck",democracy
comparative politics,"Populism and religious rhetoric in spain's right-wing vox party, ainsley taylor",religious rhetoric
comparative politics,"Populism and religious rhetoric in spain's right-wing vox party, ainsley taylor",right-wing politics
comparative politics,"Populism and religious rhetoric in spain's right-wing vox party, ainsley taylor",populism
comparative politics,"Populism and religious rhetoric in spain's right-wing vox party, ainsley taylor",spanish politics
comparative politics,"How does fiscal decentralization shape corruption?, sharandy g. appiah",fiscal decentralization
comparative politics,"How does fiscal decentralization shape corruption?, sharandy g. appiah",corruption studies
comparative politics,"Shall we play kagame? - the differences between rwanda and burundi, colin leary",comparative politics
comparative politics,"Shall we play kagame? - the differences between rwanda and burundi, colin leary",burundian politics
comparative politics,"Shall we play kagame? - the differences between rwanda and burundi, colin leary",rwandan politics
comparative politics,"Why does authoritarianism survive today?, jonas brock",authoritarianism
comparative politics,"Balancing profit and principle: how firms navigate the rise of authoritarianism, spencer fraseur",authoritarianism
comparative politics,"Balancing profit and principle: how firms navigate the rise of authoritarianism, spencer fraseur",political economy
comparative urban planning,Theoretical ground for comparative urban planning law,urban planning
comparative urban planning,Theoretical ground for comparative urban planning law,comparative law
comparative urban planning,Framework of comparative planning law,planning law
comparative urban planning,Framework of comparative planning law,comparative law
comparative urban planning,Comparative methodology,comparative methodology
comparative world literatures,Comparative world literatures track,world literature
comparative world literatures,Comparative world literatures track,comparative literature
comparative world literatures,World literatures in translation track,world literature
comparative world literatures,World literatures in translation track,translation studies
world literatures in translation,Letter symbolism,literary symbolism
world literatures in translation,Letter symbolism,semiotics
world literatures in translation,Written letters vs spoken words,literary studies
world literatures in translation,Letters and the politics of travel,political science
world literatures in translation,Letters and the politics of travel,literature
world literatures in translation,Pseudo-letters and the politics of authorship,literature
world literatures in translation,Representations of epistolary communication in literature and other arts,literature
world literatures in translation,Representations of epistolary communication in literature and other arts,arts
world literatures in translation,Methods of studying letters and epistolarity,literary studies
world literatures in translation,Editing letters,textual editing
world literatures in translation,Editing letters,letter writing
world literatures in translation,Belles-lettres,belles-lettres
world literatures in translation,The republic of letters and other networks.,republic of letters
world literatures in translation,The republic of letters and other networks.,intellectual networks
world literatures in translation,Illustrations of ethical themes in fiction,ethics
world literatures in translation,Illustrations of ethical themes in fiction,literary fiction
world literatures in translation,Illumination of ethical themes through fiction,ethics
world literatures in translation,Illumination of ethical themes through fiction,literary fiction
world literatures in translation,Fiction as experimentation with situation and response,literary experimentation
world literatures in translation,Fiction and habitus,cultural studies
complexity,complexity classes,computational complexity
complexity,circuit complexity,circuit complexity
complexity,communication complexity,communication complexity
complexity,algebraic complexity,algebraic complexity
complexity,proof complexity,proof complexity
composite variable methods,Qmms 657: exploratory latent and composite variable methods,composite variable methods
computational biochemistry,Structure and dynamics of biomolecules,structural biology
computational biochemistry,Enzyme catalysis,enzymology
computational biochemistry,Spectroscopy of biomolecules,biomolecular spectroscopy
computational biochemistry,Spectroscopy of biomolecules,spectroscopy
computational modeling,Structure and dynamics of biomolecules,molecular dynamics
computational modeling,Enzyme catalysis,biochemistry
computational modeling,Spectroscopy of biomolecules,spectroscopy
computational modeling,Computational models of psychiatric disorders and symptoms,computational psychiatry
computational communication,Advertising effects in games,advertising
computational communication,Influential factors of game advertising effectiveness,advertising effectiveness
computational communication,Health promotion effects in games,health promotion
computational communication,Mechanisms by which online games influence health attitudes and behaviors,health attitudes
computational communication,Mechanisms by which online games influence health attitudes and behaviors,online games
computational communication,Mechanisms by which online games influence health attitudes and behaviors,health behaviors
computational communication,Comparison of persuasion modeling on games among different cultures,persuasion modeling
computational communication,Data mining and analysis of advertising or health communication campaign on games,communication studies
computational communication,Data mining and analysis of advertising or health communication campaign on games,data mining
computational deglutition,Videofluoroscopy,medical imaging
computational deglutition,Swallowing,deglutition
computational deglutition,Swallowing,speech and language pathology
computational deglutition,Image processing,image processing
computational deglutition,Machine learning,machine learning
computational deglutition,Deep learning,deep learning
systems design,Machine learning,machine learning
systems design,Deep learning,machine learning
systems design,Deep learning,deep learning
systems design,Collaborative learning,collaborative learning
systems design,Pattern recognition,pattern recognition
systems design,Agents and multi-agent systems,multi-agent systems
systems design,Large language models (llms),natural language processing
systems design,Large language models (llms),machine learning
systems design,Explainable ai,explainable artificial intelligence
systems design,Digital twins,digital twins
systems design,Neural networks,machine learning
systems design,Neural networks,neural networks
systems design,Expert systems,expert systems
systems design,Expert systems,artificial intelligence
systems design,E-learning tools,educational technology
systems design,E-learning tools,e-learning
systems design,Mobile learning,mobile learning
systems design,Mobile learning,educational technology
systems design,E-learning organisational issues,e-learning
systems design,E-learning organisational issues,organizational studies
systems design,Gamification,gamification
systems design,Curriculum content design,curriculum design
systems design,Virtual learning environments,educational technology
systems design,Virtual learning environments,virtual learning environments
systems design,Web-based learning,educational technology
systems design,Web-based learning,web-based learning
systems design,Delivery systems and environments,delivery systems
systems design,Smart cities,smart cities
systems design,Smart grids and energy networks,smart grids
systems design,Smart grids and energy networks,energy networks
systems design,Sensing and sensor networks,sensing
systems design,Sensing and sensor networks,sensor networks
systems design,Ambient assisted living,ambient assisted living
systems design,Smart healthcare,smart systems
systems design,Smart healthcare,healthcare
systems design,Intelligent transportation,intelligent systems
systems design,Smart services,smart systems
systems design,Smart services,service systems
systems design,Affective computing,affective computing
systems design,Wearable computing,wearable computing
systems design,Context-aware pervasive systems,pervasive computing
systems design,Context-aware pervasive systems,context-aware computing
systems design,Artificial intelligence (ai),artificial intelligence
systems design,Electronic design automation (eda),electronic design automation
systems design,Security (sec),security
systems design,Systems (sys),systems engineering
systems design,Systems (sys),systems design
systems design,Multicore/application,application design
systems design,Multicore/application,multicore computing
systems design,Specific/heterogeneous architectures,heterogeneous computing
systems design,Specific/heterogeneous architectures,computer architecture
video analysis,Deep learning,deep learning
video analysis,Video analysis and understanding,video understanding
video analysis,Video analysis and understanding,video analysis
video analysis,Image&video processing,image processing
video analysis,Image&video processing,video processing
video analysis,Segmentation techniques,video segmentation
video analysis,Segmentation techniques,image segmentation
video analysis,"Image analysis, detection, and recognition",image detection
video analysis,"Image analysis, detection, and recognition",image recognition
video analysis,"Image analysis, detection, and recognition",image analysis
computational linguistics,model analysis & interpretability,machine learning
computational linguistics,model analysis & interpretability,model interpretability
computational linguistics,nlp engineering experiment,natural language processing
computational linguistics,nlp engineering experiment,software engineering
computational linguistics,dialogue and interactive systems,human-computer interaction
computational linguistics,discourse and pragmatics,pragmatics
computational linguistics,discourse and pragmatics,discourse analysis
computational linguistics,Efficient/low-resource methods for nlp,natural language processing
computational linguistics,"Ethics, bias, and fairness",fairness
computational linguistics,"Ethics, bias, and fairness",bias
computational linguistics,"Ethics, bias, and fairness",ethics
computational linguistics,Generation,natural language generation
computational linguistics,Human-centered nlp,natural language processing
computational linguistics,Information extraction,information extraction
computational linguistics,Interpretability and analysis of models for nlp,natural language processing
computational linguistics,Interpretability and analysis of models for nlp,model interpretability
computational linguistics,Language modeling,language modeling
computational linguistics,Machine learning for nlp,machine learning
computational linguistics,Machine learning for nlp,natural language processing
computational linguistics,Machine translation,machine translation
computational linguistics,Multilinguality and language diversity,language diversity
computational linguistics,Multilinguality and language diversity,multilingualism
computational linguistics,Nlp applications,natural language processing
computational linguistics,Question answering,question answering
computational linguistics,Semantics: lexical and sentence-level,sentence semantics
computational linguistics,Semantics: lexical and sentence-level,lexical semantics
computational linguistics,"Sentiment analysis, stylistic analysis, and argument mining",argument mining
computational linguistics,"Sentiment analysis, stylistic analysis, and argument mining",stylistic analysis
computational linguistics,"Sentiment analysis, stylistic analysis, and argument mining",sentiment analysis
computational linguistics,"Speech recognition, text-to-speech and spoken language understanding",spoken language understanding
computational linguistics,"Speech recognition, text-to-speech and spoken language understanding",speech recognition
computational linguistics,"Speech recognition, text-to-speech and spoken language understanding",text-to-speech
computational linguistics,Summarization,text summarization
computational linguistics,"Syntax: tagging, chunking and parsing",tagging
computational linguistics,"Syntax: tagging, chunking and parsing",syntax
computational linguistics,"Syntax: tagging, chunking and parsing",parsing
computational linguistics,"Syntax: tagging, chunking and parsing",chunking
computational linguistics,Special theme: generalization of nlp models,natural language processing
computational linguistics,Special theme: generalization of nlp models,machine learning
computational linguistics,Computational social science and cultural analytics,cultural analytics
computational linguistics,Computational social science and cultural analytics,computational social science
computational linguistics,"Linguistic theories, cognitive modeling, and psycholinguistics",cognitive modeling
computational linguistics,"Linguistic theories, cognitive modeling, and psycholinguistics",linguistic theory
computational linguistics,"Linguistic theories, cognitive modeling, and psycholinguistics",psycholinguistics
computational linguistics,Multilingualism and cross-lingual nlp,cross-lingual natural language processing
computational linguistics,Multilingualism and cross-lingual nlp,multilingualism
computational linguistics,"Phonology, morphology, and word segmentation",morphology
computational linguistics,"Phonology, morphology, and word segmentation",word segmentation
computational linguistics,"Phonology, morphology, and word segmentation",phonology
computational linguistics,Information retrieval and text mining,information retrieval
computational linguistics,Information retrieval and text mining,text mining
computational linguistics,"Multimodality and language grounding to vision, robotics and beyond",language grounding
computational linguistics,"Multimodality and language grounding to vision, robotics and beyond",robotics
computational linguistics,"Multimodality and language grounding to vision, robotics and beyond",computer vision
computational linguistics,"Multimodality and language grounding to vision, robotics and beyond",multimodality
information,Data resources,data resources
information,Information retrieval and text mining,information retrieval
information,Information retrieval and text mining,text mining
information,Data analysis,data analysis
information,Collaborative intelligence and edge-ai integration in cyber-physical-social systems,edge artificial intelligence
information,Collaborative intelligence and edge-ai integration in cyber-physical-social systems,collaborative intelligence
information,Collaborative intelligence and edge-ai integration in cyber-physical-social systems,cyber-physical-social systems
information,Civil society and crises: co-creating societal value with or without the government,societal value
information,Civil society and crises: co-creating societal value with or without the government,civil society
information,Civil society and crises: co-creating societal value with or without the government,crisis studies
language processing,Model analysis & interpretability,model analysis
language processing,Model analysis & interpretability,model interpretability
language processing,Nlp engineering experiment,natural language processing
language processing,Dialogue and interactive systems,interactive systems
language processing,Dialogue and interactive systems,dialogue systems
language processing,Discourse and pragmatics,pragmatics
language processing,Efficient/low-resource methods for nlp,natural language processing
language processing,Generation,natural language generation
language processing,Human-centered nlp,natural language processing
language processing,Information extraction,information extraction
language processing,Interpretability and analysis of models for nlp,natural language processing
language processing,Interpretability and analysis of models for nlp,model interpretability
language processing,Language modeling,language modeling
language processing,Machine learning for nlp,machine learning
language processing,Machine learning for nlp,natural language processing
language processing,Machine translation,machine translation
language processing,Multilinguality and language diversity,language diversity
language processing,Nlp applications,natural language processing
language processing,Question answering,question answering
language processing,Semantics: lexical and sentence-level,sentence semantics
language processing,Semantics: lexical and sentence-level,lexical semantics
language processing,"Sentiment analysis, stylistic analysis, and argument mining",argument mining
language processing,"Sentiment analysis, stylistic analysis, and argument mining",stylistic analysis
language processing,"Sentiment analysis, stylistic analysis, and argument mining",sentiment analysis
language processing,"Speech recognition, text-to-speech and spoken language understanding",spoken language understanding
language processing,"Speech recognition, text-to-speech and spoken language understanding",speech recognition
language processing,"Speech recognition, text-to-speech and spoken language understanding",text-to-speech
language processing,Summarization,natural language processing
language processing,"Syntax: tagging, chunking and parsing",natural language processing
language processing,Special theme: generalization of nlp models,natural language processing
language processing,"Linguistic theories, cognitive modeling, and psycholinguistics",cognitive science
language processing,"Linguistic theories, cognitive modeling, and psycholinguistics",linguistics
language processing,Multilingualism and cross-lingual nlp,natural language processing
natural language processing,Model analysis & interpretability,model interpretability
natural language processing,Nlp engineering experiment,natural language processing
natural language processing,Dialogue and interactive systems,interactive systems
natural language processing,Dialogue and interactive systems,dialogue systems
natural language processing,Discourse and pragmatics,pragmatics
natural language processing,Efficient/low-resource methods for nlp,natural language processing
natural language processing,Efficient/low-resource methods for nlp,low-resource natural language processing
natural language processing,"Ethics, bias, and fairness",bias in natural language processing
natural language processing,"Ethics, bias, and fairness",ethics in natural language processing
natural language processing,"Ethics, bias, and fairness",fairness in natural language processing
natural language processing,Generation,natural language generation
natural language processing,Human-centered nlp,human-centered natural language processing
natural language processing,Information extraction,information extraction
natural language processing,Interpretability and analysis of models for nlp,natural language processing
natural language processing,Language modeling,language modeling
natural language processing,Machine learning for nlp,machine learning
natural language processing,Machine learning for nlp,natural language processing
natural language processing,Machine translation,machine translation
natural language processing,Multilinguality and language diversity,language diversity
natural language processing,Nlp applications,natural language processing
natural language processing,Question answering,question answering
natural language processing,Semantics: lexical and sentence-level,semantics
natural language processing,"Sentiment analysis, stylistic analysis, and argument mining",argument mining
natural language processing,"Sentiment analysis, stylistic analysis, and argument mining",stylistic analysis
natural language processing,"Sentiment analysis, stylistic analysis, and argument mining",sentiment analysis
natural language processing,"Speech recognition, text-to-speech and spoken language understanding",spoken language understanding
natural language processing,"Speech recognition, text-to-speech and spoken language understanding",speech recognition
natural language processing,"Speech recognition, text-to-speech and spoken language understanding",text-to-speech
natural language processing,Summarization,text summarization
natural language processing,"Syntax: tagging, chunking and parsing",syntax
natural language processing,"Syntax: tagging, chunking and parsing",parsing
natural language processing,"Syntax: tagging, chunking and parsing",part-of-speech tagging
natural language processing,"Syntax: tagging, chunking and parsing",chunking
natural language processing,Special theme: generalization of nlp models,natural language processing
natural language processing,Computational social science and cultural analytics,cultural analytics
natural language processing,Computational social science and cultural analytics,computational social science
natural language processing,"Linguistic theories, cognitive modeling, and psycholinguistics",linguistics
natural language processing,"Linguistic theories, cognitive modeling, and psycholinguistics",cognitive science
natural language processing,"Linguistic theories, cognitive modeling, and psycholinguistics",psycholinguistics
natural language processing,Multilingualism and cross-lingual nlp,cross-lingual natural language processing
natural language processing,"Phonology, morphology, and word segmentation",morphology
natural language processing,"Phonology, morphology, and word segmentation",word segmentation
natural language processing,"Phonology, morphology, and word segmentation",phonology
natural language processing,Data resources,data resources
natural language processing,Information retrieval and text mining,information retrieval
natural language processing,Information retrieval and text mining,text mining
natural language processing,"Multimodality and language grounding to vision, robotics and beyond",language grounding
natural language processing,"Multimodality and language grounding to vision, robotics and beyond",robotics
natural language processing,"Multimodality and language grounding to vision, robotics and beyond",multimodal processing
natural language processing,Publicly available software and/or pre-trained models,pre-trained models
natural language processing,Publicly available software and/or pre-trained models,software engineering
syntax,Model analysis & interpretability,machine learning
syntax,Model analysis & interpretability,model interpretability
syntax,Approaches low compute settings-efficiency,computational efficiency
syntax,Syntax of predication and modification,syntax
syntax,Modification,syntax
syntax,Logic and natural language,formal logic
syntax,Logic and natural language,computational linguistics
syntax,Logic and natural language,linguistics
syntax,Lfg,computational linguistics
syntax,Lfg,linguistics
east asian translation,Machine translation,machine learning
east asian translation,Machine translation,computational linguistics
east asian translation,Machine translation,natural language processing
east asian translation,Cultural awareness in translation,translation studies
east asian translation,Cultural awareness in translation,cultural studies
east asian translation,Audiovisual translation,audiovisual translation
east asian translation,Literary translation,translation studies
east asian translation,Translation history,translation history
east asian translation,Translation studies,translation studies
east asian translation,Multilingualism and translation of minority languages,translation of minority languages
east asian translation,Multilingualism and translation of minority languages,multilingualism
east asian translation,Diasporic translation and community translation,diasporic translation
east asian translation,Diasporic translation and community translation,community translation
computational mechanics,Deltahedral self-stabilized virtual elements for 3d linear elastostatics problems,computational mechanics
computational neuroscience,Computational neuroscience,computational neuroscience
computational neuroscience,Measuring and expanding the representational competencies of modern ai systems,machine learning
computational neuroscience,Measuring and expanding the representational competencies of modern ai systems,artificial intelligence
computational neuroscience,Understanding commonalities and differences between biological and artificial intelligent systems,artificial intelligence
computational neuroscience,Understanding commonalities and differences between biological and artificial intelligent systems,computational neuroscience
computational neuroscience,Mechanistic interpretability of deep neural network models and the science of deep learning,deep learning
computational neuroscience,Mechanistic interpretability of deep neural network models and the science of deep learning,neural networks
computational neuroscience,Revealing principles of brain connectivity and dynamics at multiple scales,neuroscience
computational neuroscience,Revealing principles of brain connectivity and dynamics at multiple scales,brain connectivity
computational neuroscience,using psychophysical techniques to relate sensory inputs to behavioral responses,psychophysics
computational neuroscience,using psychophysical techniques to relate sensory inputs to behavioral responses,behavioral science
computational neuroscience,"developing cognitive- or neural-level models of perception, cognition, emotion, and action",neuroscience
computational neuroscience,"developing cognitive- or neural-level models of perception, cognition, emotion, and action",cognitive science
computational neuroscience,representation learning and representational alignment,representation learning
translational biology,Bioorganic and natural products chemistry,bioorganic chemistry
translational biology,Bioorganic and natural products chemistry,natural products chemistry
translational biology,Chemotherapy and radiotherapy,chemotherapy
translational biology,Chemotherapy and radiotherapy,radiotherapy
translational biology,Mechanisms of therapy-resistance,therapy resistance
translational biology,Novel biomarkers and therapeutic approaches to cancer,cancer therapy
translational biology,Novel biomarkers and therapeutic approaches to cancer,biomarkers
translational biology,"Cellular, molecular, and cognitive development",molecular development
translational biology,"Cellular, molecular, and cognitive development",cognitive development
translational biology,"Cellular, molecular, and cognitive development",cellular development
translational biology,"Aging of the brain, nerve, and muscle",neuroscience
translational biology,"Plasticity, learning and memory",memory
translational biology,"Plasticity, learning and memory",neuroscience
translational biology,"Plasticity, learning and memory",learning
translational biology,Neuroimaging and neuromodulation,neuroimaging
translational biology,Neuroimaging and neuromodulation,neuromodulation
translational biology,"Neuropsychiatric, neurodegenerative, and neurodevelopmental disorders",neurodegenerative diseases
translational biology,"Neuropsychiatric, neurodegenerative, and neurodevelopmental disorders",psychiatry
translational biology,"Neuropsychiatric, neurodegenerative, and neurodevelopmental disorders",neurodevelopmental disorders
translational biology,"Neuroeconomics, decision-making, and social cognition",neuroeconomics
translational biology,"Neuroeconomics, decision-making, and social cognition",decision-making
translational biology,"Neuroeconomics, decision-making, and social cognition",social cognition
translational biology,Injury and regeneration,regenerative biology
translational biology,Injury and regeneration,injury biology
translational biology,Effects of obesity and aging on cardiometabolic function,cardiometabolic physiology
translational biology,Obesity prevention and treatment,obesity prevention
translational biology,Obesity prevention and treatment,obesity treatment
translational biology,Cardiac arrthymias and sudden cardiac death,sudden cardiac death
translational biology,Cardiac arrthymias and sudden cardiac death,cardiac arrhythmias
translational biology,"Regenerative medicine, including development of therapeutics based on small molecules and stem cells",pharmacology
translational biology,"Regenerative medicine, including development of therapeutics based on small molecules and stem cells",stem cell biology
translational biology,"Regenerative medicine, including development of therapeutics based on small molecules and stem cells",regenerative medicine
translational biology,Electrical activity transfer between cardiac myocytes,cardiac electrophysiology
translational biology,Electrical activity transfer between cardiac myocytes,cell physiology
translational biology,Cardiac inflammation and edema,edema
translational biology,Cardiac inflammation and edema,cardiac inflammation
translational biology,Cellular and molecular mechanisms of inflammatory vascular disease,cell biology
translational biology,Cellular and molecular mechanisms of inflammatory vascular disease,inflammatory vascular disease
translational biology,Cellular and molecular mechanisms of inflammatory vascular disease,molecular biology
computational optical imaging,computational optical imaging and artificial intelligence in biomedical sciences ii,computational imaging
computational optical imaging,computational optical imaging and artificial intelligence in biomedical sciences ii,artificial intelligence
computational optical imaging,computational optical imaging and artificial intelligence in biomedical sciences ii,biomedical sciences
computational optical imaging,optical imaging deep learning super-resolution photonics image processing digital holography,image processing
computational optical imaging,optical imaging deep learning super-resolution photonics image processing digital holography,photonics
computational optical imaging,optical imaging deep learning super-resolution photonics image processing digital holography,deep learning
computational optical imaging,optical imaging deep learning super-resolution photonics image processing digital holography,optical imaging
computational optical imaging,optical imaging deep learning super-resolution photonics image processing digital holography,super-resolution
computational optical imaging,optical imaging deep learning super-resolution photonics image processing digital holography,digital holography
computational pathology,Computational pathology algorithms,algorithms
computational pathology,Computational pathology algorithms,computational pathology
computational pathology,Computational pathology with advanced computational infrastructures,computational pathology
computational pathology,Computational pathology with advanced computational infrastructures,computational infrastructure
computational pathology,Strategies for integrating and validating computational pathology in clinical workflows.,computational pathology
computational pathology,Strategies for integrating and validating computational pathology in clinical workflows.,clinical workflows
computational pathology,Integration of computational pathology into clinical workflows,computational pathology
computational pathology,Integration of computational pathology into clinical workflows,clinical workflows
computational pathology,Personalised medicine through computational pathology,computational pathology
computational pathology,Generative ai in computational pathology,computational pathology
computational pathology,Generative ai in computational pathology,generative artificial intelligence
computational pathology,Artificial intelligence and deep learning for computational pathology,artificial intelligence
computational pathology,Artificial intelligence and deep learning for computational pathology,computational pathology
computational pathology,Artificial intelligence and deep learning for computational pathology,deep learning
computational pathology,Applications of computational pathology in the clinic,clinical pathology
computational pathology,Applications of computational pathology in the clinic,computational pathology
computational pathology,Ethical ai development in computational pathology,artificial intelligence ethics
computational pathology,Ethical ai development in computational pathology,computational pathology
computational pathology,Clinical digital pathology image analysis with large-scale deep learning models,digital pathology
computational pathology,Clinical digital pathology image analysis with large-scale deep learning models,deep learning
computational pathology,Clinical digital pathology image analysis with large-scale deep learning models,image analysis
computational pathology,"Artificial intelligence and foundation models for multimodal data analysis, including pathology.",foundation models
computational pathology,"Artificial intelligence and foundation models for multimodal data analysis, including pathology.",artificial intelligence
computational pathology,"Artificial intelligence and foundation models for multimodal data analysis, including pathology.",multimodal data analysis
computational pathology,"Integration of digital pathology with genomics, radiology, and textual data.",digital pathology
computational pathology,"Integration of digital pathology with genomics, radiology, and textual data.",genomics
